# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 3 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	78.60	472	75	5	1	446	94173	95588	0.0	761
EOG092E035J	NODE_38_length_105757_cov_40.328830	37.29	236	68	8	461	616	95775	96482	9e-28	118
EOG092E035J	NODE_4_length_296178_cov_37.378083	34.56	136	68	4	502	616	4714	4307	2e-11	65.9
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	54.55	770	196	15	1	616	94173	96482	0.0	825
EOG092E035J	NODE_4_length_296178_cov_37.378083	33.82	136	69	4	502	616	4714	4307	8e-12	67.4
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	57.14	770	176	14	1	616	94173	96482	0.0	800
EOG092E035J	NODE_4_length_296178_cov_37.378083	54.55	44	19	1	574	616	4438	4307	1e-06	50.8
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	58.96	770	162	15	1	616	94173	96482	0.0	875
EOG092E035J	NODE_4_length_296178_cov_37.378083	28.66	164	79	6	491	616	4798	4307	2e-10	63.2
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	57.79	770	171	13	1	616	94173	96482	0.0	820
EOG092E035J	NODE_4_length_296178_cov_37.378083	29.27	164	78	5	491	616	4798	4307	2e-08	55.8
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
# Fields: query id, subject id, % identity, alignment length, mismatches, gap opens, q. start, q. end, s. start, s. end, evalue, bit score
# 2 hits found
EOG092E035J	NODE_38_length_105757_cov_40.328830	58.05	770	169	14	1	616	94173	96482	0.0	866
EOG092E035J	NODE_4_length_296178_cov_37.378083	30.57	157	71	5	498	616	4777	4307	1e-07	53.9
# TBLASTN 2.2.31+
# Query: EOG092E035J
# Database: ./tmp/BUSCO_2182475112
